review_text
"Oh dear Shingeki no Kyojin, where do I even begin. If you've talked with your friends about anime, then the couple anime that everyone talks about are Naruto, Bleach, One Piece, Dragon Ball, and... Shingeki no Kyojin. What's the difference between Shingeki and the rest? Shingeki only has 25 episodes so far yet it's on par in popularity with the other super long, Americanized anime. Why is it popular? Well that's simply because it's stunningly amazing. Those people that call Shingeki no Kyojin ""overrated"" may not have the same taste as me, and that's perfectly fine, but in my honest opinion, Shingeki no Kyojin is one of if not the greatest anime to be made. It's not popular for no reason."
"Attack on Titan is a particularly unique case for me. As such, my review needs to be broken up to properly analyze it."
"So what on earth? What have I done? How am I not able to feel the stun?... I will write about ""Attack on Titan"" here; but yeah, I'm no fanboy trying to endear myself to mainstream now or in the longer run."
"There’s a current trend that favors dark and edgy stories such as Game of Thrones, The Walking Dead, and so on. Anime, being no different, saw the much anticipated release of Attack on Titan which is based on the manga of the same name. Given the astronomical amount of hype behind the series it certainly had a lot to live up to. That said, the hype was understandable as Attack on Titan seemed to have everything going for it, being produced by Production I.G., having top notch production values, and a promising premise."
"Let's get straight to it! Shingeki no Kyojin is an incredibly gripping, action packed show, and it is certainly capable of converting non-anime watchers. When you begin to understand the plight of humanity versus the titans, you'll quickly begin to realize that this is a show of epic proportions - essentially it is an inter species war: and violence comes hand in hand with this theme, so squeamish viewers might want to look elsewhere."
"This anime made my mouth open wide for longer than 5 seconds more than a handful times. This is the type of world where more people get killed than the entirety of the A Song of Ice and Fire series. It exists in a timeless universe – not in the past, present or future of our world, but in a pocket universe where Titans existed long before the existence of machines. In this world, machines were not invented to improve humanity’s lifestyle, but for the continuous existence of humanity itself."
"It's nice to have an anime this popular that isn't just tsundere school rom-com no' 10746 for a change. But does that alone make said anime great? No, not really."
"The hype of 2013 leading to an ending that closed off lots of action and questions throughout its run. With an anime that has a lot of hype, comes a lot of conflict between haters and people who genuine enjoy the anime. Shingeki no Kyojin is an anime that made peaks in sales and getting fans world wide, but is it really worth watching?"
"Shingeki no Kyojin is an amazingly written story with a very dark premise and a lot of action. This is definitely not a series for the faint of heart, especially those with fears of man-eating giants that don't even have the decency to kill you before they eat you (sometimes). The story keeps you guessing as it progresses, there's a new reveal that completely destroys what you thought you knew and makes you wonder just how far the rabbit hole goes. The characters are very relatable and you really do want to see them succeed. What makes this series unique however is the protagonists very rarely ever win a battle. Every mission the cast engage in usually ends in a blood bath, but it's not without purpose. The gruesome deaths we witness just cements how high the stakes are in this story, and the determination of the protagonists to push forward is very inspiring."
"Shingeki no Kyojin, the anime that has brought forth a new wave of anime fans and stormed the anime world when it debuted in spring of 2013. An anime that was quickly subbed and added to Netflix after it's airing, that has gained the attention of thousands of people who normally do not watch anime. It has sold extremely well in Japan and the manga has profited well in the States as well. This must mean the series is something revolutionary and a game changer for all anime after it correct? After all it can't all be hype, there has to be some serious substance behind all of this right?"
"The fact that so many bloggers still name Shingeki no Kyogin “the greatest or most significant or most influential"" anime series of 2013 only tells you how anime still is from becoming a serious art. Anime critics have long recognized that the greatest anime series of all times are Neon Genesis Evangelion and CardCaptor Sakura, who were not the most famous or richest or best sellers of their times, let alone of all times. Other critics rank the highly controversial Aku no Hana over classic anime who were highly popular in courts around Japan. Teenage bloggers are still blinded by commercial success: Shingeki no Kyojin sold more than anyone else (not true, by the way), therefore they must have been the greatest. True anime critics grow up watching a lot of anime of the past. Shingeki no Kyojin fans are often totally ignorant of the anime of the past, they barely know the best sellers. No wonder they will think that Shingeki no Kyojin did anything worth of being saved."
"Well, I'll admit that it's been a while since I tried to sit through this. Where do I begin? Well, first of all, this anime is ridiculously overrated. I began watching it when a friend of mine was obsessed, and I have to say I was vastly disappointed. I knew that both online and in real life, people were mass-talking about SnK, so I guess I was expected more than what it was giving me."
"Animation? Great quality. Premise? Interesting and makes you want to sit and watch the rest of it. Worldbuilding? It's ok to decent. This anime would have been something I would've wanted to watch had the anime consistently been released back in the late 2010's. That being said I have somewhat kept up with the anime during the years and was eager to watch it, movies and all, when it all airs and finishes. HOWEVER, there was a certain leaked pages that spoiled the ending and everyone (including myself) were outraged at how it ended. After roughing it through the long break from season 1 to season 2 and waiting and waiting I will not watch this for the sake of the ending."
"So, Shingeki no Kyojin was like the most hyped anime in the last season. Yeah, why not? There were good basics, survival horror and action, mixed with an interesting setting. These are usually conditions for a good anime. But instead of that you get offered a bad production, logical issues and incredible weak characters. The only reason why I finished this show is that I usually never drop any anime."
"an overrated, snoozefest at best. Many of my friends came to me saying this is one of the best anime out there, so i decided to check it out. I was extremely dissapointed. The animation and sound was pretty good, to be fair. What i had the most problems with was the characters and the overall weird storyline. I got bored halfway through season three and really only continued watching to cross it off my list."
"This show is honestly the most overrated garbage I've seen. Most people who enjoy this haven't read any good manga or anime. The show has predictable plots and most of it sucks. I can't find anything in that in that's special besides the worldbuilding, which is ruined by every other aspect possible."
"Oh boy, Attack on Titan. Up front, the more time passes between me, having watched the show and now thinking about it, the more average it becomes. I came to the conclusion, that the show severely lacks memorable moments. Many may call BS on me for that, but really think about it. Excluding what happens in Episode eight...I think, there was almost nothing for me to remember fondly. I'll say, that upon first completing the show, I quite liked it and would have even called it good, but that is just not the case anymore."
"To begin, I mostly stumbled across AoT because of its high rating and under that premise assumed that it has to be somewhat decent, which it is. On the whole though, it didn't strike me as spectacular as some people made it out to be for reasons I shall explain below."
The best way I can think of describing my experience with this show is that I found it profoundly uninteresting. So much so that I find myself in a position of being genuinely unable to understand why it is so well regarded. Which is unusual for me - I can usually understand the appeal of something even if I don't care for it myself.
"When I look at the rankings of this anime, I am quite surprised. I was almost certain based on the praising reviews that was going to be a great anime revival show. I thought wrong."
"Just like a lot of people I suppose, I watched SNK to see what's the big deal about, as it wasn't in my list that season. It starts out with the shock factor. I thought, even though this isn't my kind of thing, I could maybe watch it for the suspense. But then it got into long cycles of boring and in my opinion, poorly executed character development scenes. As far as the story is concerned, I wouldn't say it's the most complex or sophisticated one, but they played the suspense/shock card very well, and it is something that can obviously attract a lot of people."
